,order,shares
2008-01-04,buy,1000
2008-01-07,sell,1000
2008-01-08,buy,1000
2008-01-10,sell,1000
2008-01-11,buy,1000
2008-01-14,sell,1000
2008-01-15,buy,1000
2008-01-16,sell,1000
2008-01-18,buy,1000
2008-01-23,sell,1000
2008-01-25,buy,1000
2008-01-29,sell,1000
2008-01-30,buy,1000
2008-02-01,sell,1000
2008-02-06,buy,1000
2008-02-07,sell,1000
2008-02-12,buy,1000
2008-02-13,sell,1000
2008-02-14,buy,1000
2008-02-15,sell,1000
2008-02-19,buy,1000
2008-02-20,sell,1000
2008-02-21,buy,1000
2008-02-25,sell,1000
2008-02-26,buy,1000
2008-02-27,sell,1000
2008-03-06,buy,1000
2008-03-07,sell,1000
2008-03-10,buy,1000
2008-03-11,sell,1000
2008-03-14,buy,1000
2008-03-18,sell,1000
2008-03-19,buy,1000
2008-03-24,sell,1000
2008-03-28,buy,1000
2008-04-01,sell,1000
2008-04-02,buy,1000
2008-04-03,sell,1000
2008-04-14,buy,1000
2008-04-18,sell,1000
2008-04-21,buy,1000
2008-04-22,sell,1000
2008-04-23,buy,1000
2008-04-25,sell,1000
2008-04-29,buy,1000
2008-05-01,sell,1000
2008-05-05,buy,1000
2008-05-06,sell,1000
2008-05-08,buy,1000
2008-05-12,sell,1000
2008-05-13,buy,1000
2008-05-15,sell,1000
2008-05-21,buy,1000
2008-05-22,sell,1000
2008-05-23,buy,1000
2008-05-27,sell,1000
2008-05-28,buy,1000
2008-05-29,sell,1000
2008-06-04,buy,1000
2008-06-05,sell,1000
2008-06-09,buy,1000
2008-06-10,sell,1000
2008-06-11,buy,1000
2008-06-16,sell,1000
2008-06-23,buy,1000
2008-06-25,sell,1000
2008-06-30,buy,1000
2008-07-03,sell,1000
2008-07-07,buy,1000
2008-07-08,sell,1000
2008-07-09,buy,1000
2008-07-10,sell,1000
2008-07-15,buy,1000
2008-07-17,sell,1000
2008-07-21,buy,1000
2008-07-23,sell,1000
2008-07-24,buy,1000
2008-07-25,sell,1000
2008-07-28,buy,1000
2008-07-30,sell,1000
2008-07-31,buy,1000
2008-08-01,sell,1000
2008-08-04,buy,1000
2008-08-05,sell,1000
2008-08-07,buy,1000
2008-08-11,sell,1000
2008-08-13,buy,1000
2008-08-15,sell,1000
2008-08-19,buy,1000
2008-08-20,sell,1000
2008-08-21,buy,1000
2008-08-22,sell,1000
2008-08-25,buy,1000
2008-08-28,sell,1000
2008-08-29,buy,1000
2008-09-03,sell,1000
2008-09-04,buy,1000
2008-09-08,sell,1000
2008-09-10,buy,1000
2008-09-11,sell,1000
2008-09-15,buy,1000
2008-09-16,sell,1000
2008-09-17,buy,1000
2008-09-19,sell,1000
2008-09-24,buy,1000
2008-09-26,sell,1000
2008-09-29,buy,1000
2008-10-02,sell,1000
2008-10-09,buy,1000
2008-10-13,sell,1000
2008-10-15,buy,1000
2008-10-16,sell,1000
2008-10-17,buy,1000
2008-10-20,sell,1000
2008-10-22,buy,1000
2008-10-23,sell,1000
2008-10-27,buy,1000
2008-10-28,sell,1000
2008-10-29,buy,1000
2008-10-31,sell,1000
2008-11-03,buy,1000
2008-11-04,sell,1000
2008-11-12,buy,1000
2008-11-13,sell,1000
2008-11-21,buy,1000
2008-11-28,sell,1000
2008-12-01,buy,1000
2008-12-08,sell,1000
2008-12-11,buy,1000
2008-12-12,sell,1000
2008-12-15,buy,1000
2008-12-16,sell,1000
2008-12-18,buy,1000
2008-12-19,sell,1000
2008-12-23,buy,1000
2008-12-24,sell,1000
2008-12-29,buy,1000
2009-01-02,sell,1000
2009-01-05,buy,1000
2009-01-06,sell,1000
2009-01-12,buy,1000
2009-01-13,sell,1000
2009-01-20,buy,1000
2009-01-28,sell,1000
2009-01-29,buy,1000
2009-01-30,sell,1000
2009-02-04,buy,1000
2009-02-06,sell,1000
2009-02-10,buy,1000
2009-02-12,sell,1000
2009-02-23,buy,1000
2009-02-26,sell,1000
2009-03-09,buy,1000
2009-03-13,sell,1000
2009-03-16,buy,1000
2009-03-18,sell,1000
2009-03-20,buy,1000
2009-03-23,sell,1000
2009-03-24,buy,1000
2009-03-26,sell,1000
2009-03-30,buy,1000
2009-04-03,sell,1000
2009-04-07,buy,1000
2009-04-13,sell,1000
2009-04-14,buy,1000
2009-04-17,sell,1000
2009-04-20,buy,1000
2009-04-21,sell,1000
2009-04-22,buy,1000
2009-04-24,sell,1000
2009-04-27,buy,1000
2009-04-29,sell,1000
2009-05-01,buy,1000
2009-05-04,sell,1000
2009-05-05,buy,1000
2009-05-06,sell,1000
2009-05-07,buy,1000
2009-05-08,sell,1000
2009-05-13,buy,1000
2009-05-14,sell,1000
2009-05-15,buy,1000
2009-05-18,sell,1000
2009-05-20,buy,1000
2009-05-21,sell,1000
2009-05-22,buy,1000
2009-05-26,sell,1000
2009-05-27,buy,1000
2009-05-29,sell,1000
2009-06-03,buy,1000
2009-06-04,sell,1000
2009-06-05,buy,1000
2009-06-08,sell,1000
2009-06-10,buy,1000
2009-06-12,sell,1000
2009-06-17,buy,1000
2009-06-19,sell,1000
2009-06-22,buy,1000
2009-06-23,sell,1000
2009-06-24,buy,1000
2009-06-29,sell,1000
2009-07-02,buy,1000
2009-07-07,sell,1000
2009-07-08,buy,1000
2009-07-09,sell,1000
2009-07-10,buy,1000
2009-07-13,sell,1000
2009-07-14,buy,1000
2009-07-15,sell,1000
2009-07-16,buy,1000
2009-07-20,sell,1000
2009-07-22,buy,1000
2009-07-23,sell,1000
2009-07-24,buy,1000
2009-07-27,sell,1000
2009-07-29,buy,1000
2009-08-05,sell,1000
2009-08-06,buy,1000
2009-08-10,sell,1000
2009-08-11,buy,1000
2009-08-13,sell,1000
2009-08-17,buy,1000
2009-08-18,sell,1000
2009-08-19,buy,1000
2009-08-21,sell,1000
2009-08-24,buy,1000
2009-08-25,sell,1000
2009-08-26,buy,1000
2009-08-27,sell,1000
2009-08-28,buy,1000
2009-08-31,sell,1000
2009-09-02,buy,1000
2009-09-10,sell,1000
2009-09-11,buy,1000
2009-09-14,sell,1000
2009-09-15,buy,1000
2009-09-17,sell,1000
2009-09-21,buy,1000
2009-09-22,sell,1000
2009-09-25,buy,1000
2009-09-29,sell,1000
2009-10-01,buy,1000
2009-10-07,sell,1000
2009-10-08,buy,1000
2009-10-12,sell,1000
2009-10-13,buy,1000
2009-10-14,sell,1000
2009-10-19,buy,1000
2009-10-20,sell,1000
2009-10-21,buy,1000
2009-10-22,sell,1000
2009-10-26,buy,1000
2009-10-27,sell,1000
2009-10-28,buy,1000
2009-10-29,sell,1000
2009-10-30,buy,1000
2009-11-03,sell,1000
2009-11-04,buy,1000
2009-11-05,sell,1000
2009-11-06,buy,1000
2009-11-09,sell,1000
2009-11-10,buy,1000
2009-11-11,sell,1000
2009-11-13,buy,1000
2009-11-18,sell,1000
2009-11-20,buy,1000
2009-11-23,sell,1000
2009-11-27,buy,1000
2009-11-30,sell,1000
2009-12-03,buy,1000
2009-12-04,sell,1000
2009-12-09,buy,1000
2009-12-10,sell,1000
2009-12-11,buy,1000
2009-12-14,sell,1000
2009-12-15,buy,1000
2009-12-16,sell,1000
2009-12-17,buy,1000
2009-12-22,sell,1000
2009-12-23,buy,1000
2009-12-24,sell,1000
2009-12-29,buy,1000
2009-12-31,sell,1000
